attr-label,attr-def,attr-defs,data-min,data-max,data-units
ER_daily_25pct,"The 25th quantile of the post-warmup MCMC distribution of the ER_daily parameter, where ER_daily is the mean ecosystem respiration (ER) for this date, and more negative values indicate more respiration.",streamMetabolizer R package,-120.8,42.67,gO2 m^-2 d^-1
ER_daily_50pct,"The 50th quantile of the post-warmup MCMC distribution of the ER_daily parameter, where ER_daily is the mean ecosystem respiration (ER) for this date, and more negative values indicate more respiration.",streamMetabolizer R package,-118.3,45.52,gO2 m^-2 d^-1
ER_daily_75pct,"The 75th quantile of the post-warmup MCMC distribution of the ER_daily parameter, where ER_daily is the mean ecosystem respiration (ER) for this date, and more negative values indicate more respiration.",streamMetabolizer R package,-115.8,48.41,gO2 m^-2 d^-1
ER_daily_97.5pct,"The 97.5th quantile of the post-warmup MCMC distribution of the ER_daily parameter, where ER_daily is the mean ecosystem respiration (ER) for this date, and more negative values indicate more respiration.",streamMetabolizer R package,-110.9,53.68,gO2 m^-2 d^-1
ER_daily_n_eff,"Estimated effective sample size of the MCMC sampling for the ER_daily parameter, where ER_daily is the mean ecosystem respiration (ER) for this date, and more negative values indicate more respiration.",streamMetabolizer R package,2.004,8000,samples
ER_daily_Rhat,"R-hat statistic of the MCMC sampling for the ER_daily parameter, where ER_daily is the mean ecosystem respiration (ER) for this date, and more negative values indicate more respiration. Values near or below 1.05 indicate convergence of the MCMC chains.",streamMetabolizer R package,0.998,22.19,NA
K600_daily_mean,"Mean of the post-warmup MCMC distribution of the K600_daily parameter, where K600_daily is the mean reaeration rate coefficient, scaled to a Schmidt number of 600, for this date.",streamMetabolizer R package,0.0005431,678.4,d^-1
K600_daily_se_mean,"Standard error of the mean of the post-warmup MCMC distribution of the K600_daily parameter, where K600_daily is the mean reaeration rate coefficient, scaled to a Schmidt number of 600, for this date.",streamMetabolizer R package,0.00001206,157,d^-1
K600_daily_sd,"Standard deviation of the post-warmup MCMC distribution of the K600_daily parameter, where K600_daily is the mean reaeration rate coefficient, scaled to a Schmidt number of 600, for this date.",streamMetabolizer R package,0.0005393,224.3,d^-1
K600_daily_2.5pct,"The 2.5th quantile of the post-warmup MCMC distribution of the K600_daily parameter, where K600_daily is the mean reaeration rate coefficient, scaled to a Schmidt number of 600, for this date.",streamMetabolizer R package,0.0000104,396.3,d^-1
K600_daily_25pct,"The 25th quantile of the post-warmup MCMC distribution of the K600_daily parameter, where K600_daily is the mean reaeration rate coefficient, scaled to a Schmidt number of 600, for this date.",streamMetabolizer R package,0.0001671,565,d^-1
K600_daily_50pct,"The 50th quantile of the post-warmup MCMC distribution of the K600_daily parameter, where K600_daily is the mean reaeration rate coefficient, scaled to a Schmidt number of 600, for this date.",streamMetabolizer R package,0.0003724,694.9,d^-1
K600_daily_75pct,"The 75th quantile of the post-warmup MCMC distribution of the K600_daily parameter, where K600_daily is the mean reaeration rate coefficient, scaled to a Schmidt number of 600, for this date.",streamMetabolizer R package,0.0007555,850,d^-1
K600_daily_97.5pct,"The 97.5th quantile of the post-warmup MCMC distribution of the K600_daily parameter, where K600_daily is the mean reaeration rate coefficient, scaled to a Schmidt number of 600, for this date.",streamMetabolizer R package,0.001994,999.7,d^-1
K600_daily_n_eff,"Estimated effective sample size of the MCMC sampling for the K600_daily parameter, where K600_daily is the mean reaeration rate coefficient, scaled to a Schmidt number of 600, for this date.",streamMetabolizer R package,2.001,8000,samples
K600_daily_Rhat,"R-hat statistic of the MCMC sampling for the K600_daily parameter, where K600_daily is the mean reaeration rate coefficient, scaled to a Schmidt number of 600, for this date. Values near or below 1.05 indicate convergence of the MCMC chains.",streamMetabolizer R package,0.998,284.3,NA
K600_daily_predlog_mean,"Mean of the post-warmup MCMC distribution of the K600_daily_predlog parameter, giving the hierarchical estimate of K600 as a function of the mean daily discharge, in natural log space.",streamMetabolizer R package,-2.691,6.48,ln(d^-1)
K600_daily_predlog_se_mean,"Standard error of the mean of the post-warmup MCMC distribution of the K600_daily_predlog parameter, giving the hierarchical estimate of K600 as a function of the mean daily discharge, in natural log space.",streamMetabolizer R package,0.000121,0.5248,ln(d^-1)
K600_daily_predlog_sd,"Standard deviation of the post-warmup MCMC distribution of the K600_daily_predlog parameter, giving the hierarchical estimate of K600 as a function of the mean daily discharge, in natural log space.",streamMetabolizer R package,0.007772,0.7454,ln(d^-1)
K600_daily_predlog_2.5pct,"The 2.5th quantile of the post-warmup MCMC distribution of the K600_daily_predlog parameter, giving the hierarchical estimate of K600 as a function of the mean daily discharge, in natural log space.",streamMetabolizer R package,-2.968,5.982,ln(d^-1)
K600_daily_predlog_25pct,"The 25th quantile of the post-warmup MCMC distribution of the K600_daily_predlog parameter, giving the hierarchical estimate of K600 as a function of the mean daily discharge, in natural log space.",streamMetabolizer R package,-2.781,6.332,ln(d^-1)
K600_daily_predlog_50pct,"The 50th quantile of the post-warmup MCMC distribution of the K600_daily_predlog parameter, giving the hierarchical estimate of K600 as a function of the mean daily discharge, in natural log space.",streamMetabolizer R package,-2.691,6.543,ln(d^-1)
K600_daily_predlog_75pct,"The 75th quantile of the post-warmup MCMC distribution of the K600_daily_predlog parameter, giving the hierarchical estimate of K600 as a function of the mean daily discharge, in natural log space.",streamMetabolizer R package,-2.604,6.745,ln(d^-1)
K600_daily_predlog_97.5pct,"The 97.5th quantile of the post-warmup MCMC distribution of the K600_daily_predlog parameter, giving the hierarchical estimate of K600 as a function of the mean daily discharge, in natural log space.",streamMetabolizer R package,-2.447,6.907,ln(d^-1)
K600_daily_predlog_n_eff,"Estimated effective sample size of the MCMC sampling for the K600_daily_predlog parameter, giving the hierarchical estimate of K600 as a function of the mean daily discharge, in natural log space.",streamMetabolizer R package,2.001,8000,samples
K600_daily_predlog_Rhat,"R-hat statistic of the MCMC sampling for the K600_daily_predlog parameter, giving the hierarchical estimate of K600 as a function of the mean daily discharge, in natural log space. Values near or below 1.05 indicate convergence of the MCMC chains.",streamMetabolizer R package,0.9981,427.7,NA
valid_day,"TRUE if the input data for this date were considered valid and included in the model, FALSE otherwise",streamMetabolizer R package,FALSE,TRUE,NA
warnings,Date-specific warnings about input data,streamMetabolizer R package,NA,NA,NA
errors,Date-specific problems with input data that prevented model fitting on that date and drove the setting of valid_day to FALSE,streamMetabolizer R package,NA,NA,NA
